ID, Arrival
1,90.0
2,41.0
3,49.0
4,48.5
5,62.5
6,56.0
7,41.0
8,19.0
9,41.0
10,21.0
11,36.0
12,8.5
13,24.0
14,26.0
15,57.333333333333336
16,48.5
17,38.0
18,33.5
19,37.5
20,37.0
21,22.0
22,28.333333333333332
23,17.0
24,50.5
25,37.333333333333336
26,56.0
27,71.0
28,45.0
29,52.0
30,52.0
31,37.0
32, 38.0
33, 36.0
34, 42.666666666666664
35,86.0
36,45.25
37,86.0
38,54.25
39,56.0
40,57.0
41,38.0
42,32.0
43,37.0
44,20.0
45,32.0
46,20.0
47,51.5
48,58.0
49,58.0
50,72.0
51,67.5
52,56.0
53,31.0
54,48.0
55,86.0
56,80.44444444444444
57,67.0
58,58.714285714285715
59,52.0
60,22.0
61,76.4
62,77.5
63,56.6
64,58.0
65,69.57142857142857
66,44.666666666666664
67,45.5
68,37.0
69,67.125
70,72.5
71,52.0
72,56.0
73,57.0
74,43.0
75,49.5
76,42.5
77,34.0
78,34.0
79,51.0
80,33.5
81,34.0
82,46.333333333333336
83,30.0
84,49.0
85,22.0
86,35.0
87,49.0
88,49.0
89,26.0
90,39.0
91,19.0
92,51.5
93,29.0
94,42.5
95,44.0
96,44.0
97,35.0
98,50.0
99,50.4
100,31.0
101,51.0
102,24.0
